,Account Name,Date Created,Tweet,Pos. Sentiment Score,Neg. Sentiment Score,Neut. Sentiment Score,Comp. Sentiment Score
0,@BBC,Mon Jan 08 21:29:44 +0000 2018,"RT @bbc5live: Looking for some exercise and nutrition advice? ?

Joe Wicks, aka @thebodycoach, shares his tips on how to sustain a long ter…",0.095,0.0,0.905,0.296
1,@BBC,Mon Jan 08 21:29:01 +0000 2018,"RT @bbcasiannetwork: ? The Asian Network Future Sounds 2018 list is live! ?
?? Get these artists on your radar right now ??
@rikaldn 
@nash…",0.0,0.0,1.0,0.0
2,@BBC,Mon Jan 08 21:28:07 +0000 2018,"RT @bbcthesocial: Jordan thought nobody would give him a chance after prison, but now he's training to be a chef 

#IntoIt https://t.co/GVV…",0.069,0.099,0.831,-0.1655
3,@BBC,Mon Jan 08 21:27:12 +0000 2018,"RT @bbcworldservice: ""Our job as journalists is to bring the story back and to make sure that these things are not invisible."" @cmittermeie…",0.095,0.0,0.905,0.3182
4,@BBC,Mon Jan 08 21:23:06 +0000 2018,RT @BBCiPlayer: ? #HardSun is the new #boxset to get stuck into this week. #iplayerit https://t.co/7AEUPTrmRV https://t.co/DTxDAF4217,0.0,0.118,0.882,-0.25
5,@BBC,Mon Jan 08 21:22:32 +0000 2018,RT @BBCWthrWatchers: Some cracking sunsets ? in the north of the UK earlier. Cloudier conditions arriving overnight may limit the number of…,0.061,0.0,0.939,0.0772
6,@BBC,Mon Jan 08 20:30:06 +0000 2018,"The #SilentWitness team are back. 

9pm | @BBCOne | https://t.co/nluMqMB9kB https://t.co/XNJzlzoti7",0.0,0.0,1.0,0.0
7,@BBC,Mon Jan 08 20:04:03 +0000 2018,Recy Taylor: who was the woman Oprah mentioned in her #GoldenGlobes speech? https://t.co/tiynXeMmCO https://t.co/1Pw4pUEQRY,0.0,0.0,1.0,0.0
8,@BBC,Mon Jan 08 19:37:04 +0000 2018,"Tonight, go beyond the theatre doors and discover how surgeons push medical boundaries to the limits. ? 

Surgeons:… https://t.co/ZOnkfmFkDY",0.0,0.0,1.0,0.0
9,@BBC,Mon Jan 08 19:02:01 +0000 2018,"?? The moment a moose, which got stuck up to its neck in snow, is freed by rescuers in Canada. ? https://t.co/edDNzLFP2c",0.119,0.088,0.793,0.1779
10,@BBC,Mon Jan 08 18:32:04 +0000 2018,?? This year you can get 24 days off in a row using just 14 days of leave! https://t.co/ffVi0OKWIv https://t.co/3bIJLmeK4s,0.0,0.077,0.923,-0.126
11,@BBC,Mon Jan 08 18:02:04 +0000 2018,?? It was a big day for Princess Charlotte today as she started at nursery school. https://t.co/uZm4XqMPhV https://t.co/tVw11CKnVf,0.0,0.0,1.0,0.0
12,@BBC,Mon Jan 08 17:30:06 +0000 2018,??This mum is taking on the global airline industry to get wheelchairs allowed on planes. https://t.co/C5suKv2fJy,0.0,0.0,1.0,0.0
13,@BBC,Mon Jan 08 17:09:03 +0000 2018,"This #MeatFreeMonday, why not give one of these veggie pasta bakes a go? ??? https://t.co/BFvmdF4FZi https://t.co/ZRXjL2ZASs",0.0,0.0,1.0,0.0
14,@BBC,Mon Jan 08 16:48:04 +0000 2018,"'I still have that karaoke machine!' ????

@Camila_Cabello explains how a @BritneySpears karaoke CD made her Christ… https://t.co/G2WJxboW67",0.0,0.0,1.0,0.0
15,@BBC,Mon Jan 08 16:33:07 +0000 2018,These are some of the most striking photographs taken last week from around the world. ? https://t.co/nbDyZEg9YW https://t.co/ixljaLS7bq,0.0,0.0,1.0,0.0
16,@BBC,Mon Jan 08 16:00:05 +0000 2018,Judi Dench and Maggie Smith star as two sisters whose lives are changed when they befriend a man they find on the b… https://t.co/a9hqMWL9bV,0.0,0.0,1.0,0.0
17,@BBC,Mon Jan 08 15:27:21 +0000 2018,"?Eight books that will make you want to run away with the circus. ?? https://t.co/ahZU4Dn2kD

#LoveToRead https://t.co/FnPS49sYg6",0.075,0.0,0.925,0.0772
18,@BBC,Mon Jan 08 15:00:07 +0000 2018,?? If you're married then it might be best to tread carefully today which has been dubbed #DivorceDay by lawyers.… https://t.co/tamDjAjpmp,0.231,0.0,0.769,0.6908
19,@BBC,Mon Jan 08 14:30:06 +0000 2018,Repeat bouts of warmer seawater are posing a significant challenge to the world's coral reefs. ? ? ?… https://t.co/nLE91lQxyt,0.29,0.0,0.71,0.5106
20,@BBC,Mon Jan 08 14:03:04 +0000 2018,"'Having kids ruins your life in the best way possible.'
11 things we learned from Charlie Brooker’s Desert Island D… https://t.co/qcyMA9KdNA",0.161,0.111,0.728,0.3182
21,@BBC,Mon Jan 08 13:43:59 +0000 2018,RT @bbcthesocial: WTF is #hygge? https://t.co/M04sxI3XMt,0.0,0.476,0.524,-0.6739
22,@BBC,Mon Jan 08 13:40:41 +0000 2018,RT @bbcrb: Any spare paper laying about in your office? Donate some today ! ? https://t.co/FWCGmnJK6Y,0.0,0.0,1.0,0.0
23,@BBC,Mon Jan 08 13:33:04 +0000 2018,"New year, new me? ? 

? ?  From taking photos inside active volcanoes to jousting, here are 8 hobbies you probably… https://t.co/wGtHBd3TK1",0.137,0.0,0.863,0.4019
24,@BBC,Mon Jan 08 13:00:08 +0000 2018,?? This 16-year-old girl from East Kilbride has made F4 motor racing history. https://t.co/LHhhU6vKY8,0.0,0.0,1.0,0.0
25,@BBC,Mon Jan 08 12:40:13 +0000 2018,RT @BBCCornwall: ?? Even the dolphins had a lovely time playing in the #SundaySunshine in Mounts Bay ???? Thanks to #drone operator Simon S…,0.298,0.0,0.702,0.8176
26,@BBC,Mon Jan 08 12:37:56 +0000 2018,RT @BBC100women: The red carpet was a sea of black dresses and suits at the #GoldenGlobes.  Stars discuss #WhyWeWearBlack and make it very…,0.0,0.0,1.0,0.0
27,@BBC,Mon Jan 08 12:37:14 +0000 2018,"RT @BBCSpringwatch: 50 million trees are going to be planted ?
https://t.co/x4Enjn8H2A",0.0,0.0,1.0,0.0
28,@BBC,Mon Jan 08 12:37:05 +0000 2018,"RT @bbccomedy: So, how you feeling today? ?? #MondayMotivation https://t.co/dyRd1shmfq",0.164,0.0,0.836,0.1935
29,@BBC,Mon Jan 08 12:36:01 +0000 2018,"RT @BBCOne: ? Thick fur and enormous feet help Canada lynx deal with deep snow and arctic conditions. 

? #BigCats, Thursday at 8pm on @BBC…",0.109,0.0,0.891,0.4019
30,@BBC,Mon Jan 08 12:29:03 +0000 2018,"On what would have been #DavidBowie's 71st birthday, here are 8 life lessons we can take away from the Star Man's t… https://t.co/kbSD0N77jx",0.0,0.0,1.0,0.0
31,@BBC,Mon Jan 08 12:28:45 +0000 2018,"RT @bbcasiannetwork: ? ""They walk in the room and they let everybody know.""
@iamwill tells @HarpreetUK how he's been inspired to ditch the…",0.132,0.0,0.868,0.4939
